ID,标题,地址,户型,面积,朝向,关注信息,总价,单价,创建时间
23,槐柏树街北里 2室1厅 南 北必看好房,2室1厅 | 50.96平米 | 南 北 | 精装 | 底层(共5层)  | 板楼,2室1厅,50.96,南 北,26人关注 / 2个月以前发布,610.0,119.0,2025-03-20 20:32:36
24,精美复式正对公园高层采光好可装性强，价格低三居必看好房,3室1厅 | 70.57平米 | 西 | 精装 | 顶层(共11层) | 2007年 | 板塔结合,3室1厅,70.57,西,17人关注 / 3个月以前发布,980.0,138.0,2025-03-20 20:32:36
25,万润家园 2室1厅 南 西必看好房,2室1厅 | 95.32平米 | 南 西 | 简装 | 低楼层(共12层) | 2003年 | 板楼,2室1厅,95.32,南 西,18人关注 / 3个月以前发布,428.0,44.0,2025-03-20 20:32:36
26,保利紫荆香谷南区 3室2厅 南 北必看好房,3室2厅 | 91.92平米 | 南 北 | 精装 | 低楼层(共18层) | 2017年 | 板楼,3室2厅,91.92,南 北,13人关注 / 6个月以前发布,418.0,45.0,2025-03-20 20:32:36
27,南岗子  满五  南北通透  采光充足必看好房,3室1厅 | 53.59平米 | 南 北 | 精装 | 底层(共6层)  | 板楼,3室1厅,53.59,南 北,38人关注 / 4个月以前发布,469.0,87.0,2025-03-20 20:32:36
28,工体杰座大厦70年纯住宅民水民电有燃气5V1必看好房,1室1厅 | 76.53平米 | 西 | 简装 | 中楼层(共12层)  | 板塔结合,1室1厅,76.53,西,17人关注 / 6个月以前发布,428.0,55.0,2025-03-20 20:32:36
29,志新村小区 南向两居室  精装修必看好房,2室1厅 | 56.75平米 | 南 | 精装 | 6层 | 1994年 | 板楼,2室1厅,56.75,南,5人关注 / 1个月以前发布,505.0,88.0,2025-03-20 20:32:36
30,金隅丽景园 1室1厅 东必看好房,1室1厅 | 50.26平米 | 东 | 精装 | 低楼层(共28层) | 2010年 | 塔楼,1室1厅,50.26,东,15人关注 / 1个月以前发布,206.0,40.0,2025-03-20 20:32:36
31,金科帕提欧 满五唯一精装修电梯中间楼层4居室必看好房,4室2厅 | 139.74平米 | 南 北 | 精装 | 中楼层(共9层) | 2011年 | 板楼,4室2厅,139.74,南 北,2人关注 / 8天以前发布,313.0,22.0,2025-03-20 20:32:36
32,全新品质装修，东西北三面通风，全明格局，正规两居必看好房,2室1厅 | 70.59平米 | 东 西 北 | 精装 | 中楼层(共18层) | 2009年 | 板塔结合,2室1厅,70.59,东 西 北,15人关注 / 2个月以前发布,560.0,79.0,2025-03-20 20:32:36
33,泰悦豪庭 白八十 正规一居 高层采光好 楼龄新必看好房,1室1厅 | 72.34平米 | 西 | 精装 | 高楼层(共22层) | 2003年 | 塔楼,1室1厅,72.34,西,18人关注 / 6个月以前发布,360.0,49.0,2025-03-20 20:32:36
34,满2年，在3层，东向不临街，闹中取静必看好房,2室1厅 | 45.5平米 | 东 | 精装 | 中楼层(共5层)  | 板楼,2室1厅,45.5,东,5人关注 / 1个月以前发布,409.0,89.0,2025-03-20 20:32:36
35,东城东直门海晟名苑北区，封闭商品房社区，人车分流必看好房,1室1厅 | 70.39平米 | 东 | 精装 | 16层 | 2007年 | 板塔结合,1室1厅,70.39,东,44人关注 / 3个月以前发布,580.0,82.0,2025-03-20 20:32:36
36,新龙城电梯三居，满五唯一，看房便利，视野好诚意卖必看好房,3室2厅 | 116.96平米 | 南 北 | 精装 | 8层  | 板楼,3室2厅,116.96,南 北,134人关注 / 7个月以前发布,599.0,51.0,2025-03-20 20:32:36
37,西现代城  落地窗 产权清晰带电梯一居必看好房,1室1厅 | 44.62平米 | 北 | 简装 | 中楼层(共22层) | 2004年 | 板塔结合,1室1厅,44.62,北,4人关注 / 10天以前发布,186.0,41.0,2025-03-20 20:32:36
38,保利紫荆香谷南区 3室2厅 南 北必看好房,3室2厅 | 91.92平米 | 南 北 | 精装 | 低楼层(共18层) | 2017年 | 板楼,3室2厅,91.92,南 北,13人关注 / 6个月以前发布,418.0,45.0,2025-03-20 20:32:36
39,南岗子  满五  南北通透  采光充足必看好房,3室1厅 | 53.59平米 | 南 北 | 精装 | 底层(共6层)  | 板楼,3室1厅,53.59,南 北,38人关注 / 4个月以前发布,469.0,87.0,2025-03-20 20:32:36
40,万润家园 2室1厅 南 西必看好房,2室1厅 | 95.32平米 | 南 西 | 简装 | 低楼层(共12层) | 2003年 | 板楼,2室1厅,95.32,南 西,18人关注 / 3个月以前发布,428.0,44.0,2025-03-20 20:32:36
41,儿童福利院家属楼 精装修 免费停车 全明格局 河景必看好房,2室1厅 | 58.3平米 | 东 南 西 | 精装 | 高楼层(共6层) | 1995年 | 板楼,2室1厅,58.3,东 南 西,15人关注 / 1个月以前发布,392.0,67.0,2025-03-20 20:32:36
42,精美复式正对公园高层采光好可装性强，价格低三居必看好房,3室1厅 | 70.57平米 | 西 | 精装 | 顶层(共11层) | 2007年 | 板塔结合,3室1厅,70.57,西,17人关注 / 3个月以前发布,980.0,138.0,2025-03-20 20:32:36
43,西三旗沁春家园  经典两居室 靠谱签约必看好房,2室1厅 | 81.78平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2室1厅,81.78,南 北,11人关注 / 1个月以前发布,468.0,57.0,2025-03-20 20:32:36
44,怡海花园 南北两居低楼层 看房随时必看好房,2室1厅 | 83.86平米 | 南 北 | 简装 | 低楼层(共6层) | 2001年 | 板楼,2室1厅,83.86,南 北,27人关注 / 3个月以前发布,470.0,56.0,2025-03-20 20:32:36
45,万润家园 2室1厅 西南必看好房,2室1厅 | 92.61平米 | 西南 | 精装 | 中楼层(共10层) | 2003年 | 板楼,2室1厅,92.61,西南,9人关注 / 7天以前发布,430.0,46.0,2025-03-20 20:32:36
46,丹麦组团 四期 南北通透 眼镜户型 临河观景 地暖三居必看好房,3室2厅 | 238.99平米 | 南 北 | 精装 | 低楼层(共24层) | 2009年 | 板楼,3室2厅,238.99,南 北,71人关注 / 11个月以前发布,1790.0,74.0,2025-03-20 20:32:36
47,满五唯一 中高楼层 近地铁 生活配套好 随时可看必看好房,2室1厅 | 74.1平米 | 西 | 精装 | 高楼层(共19层) | 2003年 | 板塔结合,2室1厅,74.1,西,46人关注 / 7个月以前发布,550.0,74.0,2025-03-20 20:32:36
48,望都新地 电梯房两居 视野好 业主诚意出售必看好房,2室1厅 | 89.42平米 | 南 | 简装 | 顶层(共15层) | 2016年 | 板楼,2室1厅,89.42,南,44人关注 / 一年前发布,295.0,32.0,2025-03-20 20:32:36
49,华瀚福园C区拐角窗户型优质房源必看好房,1室1厅 | 55.11平米 | 南 | 简装 | 中楼层(共24层)  | 板楼,1室1厅,55.11,南,64人关注 / 11个月以前发布,179.0,32.0,2025-03-20 20:32:36
50,志新北里，带电梯全明格局大三居客厅大，物业好装修好必看好房,3室1厅 | 115.2平米 | 东北 | 精装 | 高楼层(共14层) | 1997年 | 塔楼,3室1厅,115.2,东北,7人关注 / 1个月以前发布,890.0,77.0,2025-03-20 20:32:36
51,上地西里精选三居室满五唯一商品房好位置必看好房,3室1厅 | 131.63平米 | 南 北 | 简装 | 底层(共7层)  | 板楼,3室1厅,131.63,南 北,4人关注 / 2个月以前发布,1279.0,97.0,2025-03-20 20:32:36
52,一层，南北大二居，带独立储物间，明卫，看房有钥匙必看好房,2室1厅 | 109.69平米 | 南 北 | 精装 | 底层(共6层)  | 板楼,2室1厅,109.69,南 北,11人关注 / 27天以前发布,465.0,42.0,2025-03-20 20:32:36
53,东四环，2004年商品房，落地窗，满五唯一诚意出售必看好房,2室1厅 | 57.35平米 | 西 西北 | 精装 | 中楼层(共24层) | 2004年 | 塔楼,2室1厅,57.35,西 西北,75人关注 / 3个月以前发布,282.0,49.0,2025-03-20 20:32:36
54,南北通透好楼层 两居室 南北朝向全明格局必看好房,2室1厅 | 75.97平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,2室1厅,75.97,南 北,2人关注 / 14天以前发布,170.0,22.0,2025-03-20 20:32:36
55,南向1居，次顶层，明厨明卫，不临街，格局方正！必看好房,1室1厅 | 45.87平米 | 南 | 简装 | 6层  | 板楼,1室1厅,45.87,南,6人关注 / 4个月以前发布,436.0,95.0,2025-03-20 20:32:36
56,首开璞瑅 人车分流 刚需两居  看房方便必看好房,2室1厅 | 94.72平米 | 西南 | 精装 | 低楼层(共22层) | 2011年 | 板塔结合,2室1厅,94.72,西南,9人关注 / 2个月以前发布,799.0,84.0,2025-03-20 20:32:36
57,建材城东二里 南北通透 正规二居 不临街 海淀产权必看好房,2室1厅 | 73.5平米 | 南 北 | 精装 | 顶层(共6层)  | 板楼,2室1厅,73.5,南 北,23人关注 / 5个月以前发布,330.0,44.0,2025-03-20 20:32:36
58,月坛  复兴门外大街 邻长安街 下楼就是地铁必看好房,2室1厅 | 66.5平米 | 东 | 简装 | 中楼层(共10层)  | 板楼,2室1厅,66.5,东,13人关注 / 2个月以前发布,749.0,112.0,2025-03-20 20:32:36
59,地铁7号线19号线3居，不临街，屋内安静必看好房,3室1厅 | 69.11平米 | 东 西 | 精装 | 顶层(共6层) | 1983年 | 板楼,3室1厅,69.11,东 西,86人关注 / 5个月以前发布,470.0,68.0,2025-03-20 20:32:36
60,风雅园二区，满五年，南北通透，采光好必看好房,3室2厅 | 121平米 | 南 北 | 简装 | 7层  | 板楼,3室2厅,121.0,南 北,87人关注 / 一年前发布,425.0,35.0,2025-03-20 20:32:36
61,枫丹丽舍 南北户型三居室 满五年商品房 楼层好必看好房,3室1厅 | 147.11平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,3室1厅,147.11,南 北,152人关注 / 一年前发布,899.0,61.0,2025-03-20 20:32:36
62,金台路 电梯直达 带大客厅 采光好无遮挡 近地铁必看好房,2室1厅 | 65.32平米 | 西南 | 精装 | 低楼层(共20层) | 1998年 | 塔楼,2室1厅,65.32,西南,10人关注 / 15天以前发布,365.0,55.0,2025-03-20 20:32:36
63,西井四区 业主自住南北通透三室一厅 不临街 近地铁必看好房,3室1厅 | 87.35平米 | 南 北 | 简装 | 高楼层(共6层) | 2000年 | 板楼,3室1厅,87.35,南 北,31人关注 / 3个月以前发布,380.0,43.0,2025-03-20 20:32:36
64,南庭新苑南区 1室1厅 东必看好房,1室1厅 | 50.75平米 | 东 | 毛坯 | 中楼层(共15层) | 2012年 | 塔楼,1室1厅,50.75,东,29人关注 / 15天以前发布,159.0,31.0,2025-03-20 20:32:36
65,聚焦：友谊社区 南北通透 全明格局 低楼层必看好房,2室1厅 | 64.82平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2室1厅,64.82,南 北,15人关注 / 15天以前发布,519.0,80.0,2025-03-20 20:32:36
66,满五唯一，全明格局，双明卫，采光好，近地铁必看好房,3室2厅 | 161.07平米 | 南 北 | 精装 | 中楼层(共10层) | 2006年 | 板楼,3室2厅,161.07,南 北,63人关注 / 2个月以前发布,1630.0,101.0,2025-03-20 20:32:36
67,南北通透两居室，近地铁，精装修必看好房,2室1厅 | 92.33平米 | 南 北 | 精装 | 6层 | 2000年 | 板楼,2室1厅,92.33,南 北,60人关注 / 一年前发布,355.0,38.0,2025-03-20 20:32:36
68,上林溪精装两居 南北通透 全明格局 有电梯 诚意卖必看好房,2室1厅 | 107.02平米 | 南 北 | 精装 | 低楼层(共11层) | 2014年 | 板楼,2室1厅,107.02,南 北,14人关注 / 18天以前发布,970.0,90.0,2025-03-20 20:32:36
69,本房满五年唯一商品房，20平米下沉庭院必看好房,4室2厅 | 151.05平米 | 南 北 | 简装 | 底层(共5层)  | 板楼,4室2厅,151.05,南 北,21人关注 / 3个月以前发布,680.0,45.0,2025-03-20 20:32:36
70,北辰福第中区 高楼层 视野开阔 采光充足全明格局必看好房,2室1厅 | 80.94平米 | 西北 | 简装 | 高楼层(共22层) | 2010年 | 塔楼,2室1厅,80.94,西北,42人关注 / 2个月以前发布,375.0,46.0,2025-03-20 20:32:36
71,益丰园 2室1厅 南 北必看好房,2室1厅 | 58.66平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2室1厅,58.66,南 北,2人关注 / 8天以前发布,208.0,35.0,2025-03-20 20:32:36
72,新龙城 2室1厅 南 北必看好房,2室1厅 | 115.04平米 | 南 北 | 简装 | 20层 | 2007年 | 板楼,2室1厅,115.04,南 北,9人关注 / 3个月以前发布,505.0,43.0,2025-03-20 20:32:36
73,此房满五唯一，自住装修，南向一居室。必看好房,1室1厅 | 62.47平米 | 南 | 简装 | 低楼层(共12层) | 2016年 | 板楼,1室1厅,62.47,南,27人关注 / 4个月以前发布,195.0,31.0,2025-03-20 20:32:36
74,建材城东二里 南北通透 正规二居 不临街 海淀产权必看好房,2室1厅 | 73.5平米 | 南 北 | 精装 | 顶层(共6层)  | 板楼,2室1厅,73.5,南 北,23人关注 / 5个月以前发布,330.0,44.0,2025-03-20 20:32:36
75,时代之光名苑，金融街，积水潭，枫蓝，西直门，商品房必看好房,2室1厅 | 107.68平米 | 东 | 简装 | 16层  | 塔楼,2室1厅,107.68,东,13人关注 / 2个月以前发布,910.0,84.0,2025-03-20 20:32:36
76,上地西里精选三居室满五唯一商品房好位置必看好房,3室1厅 | 131.63平米 | 南 北 | 简装 | 底层(共7层)  | 板楼,3室1厅,131.63,南 北,4人关注 / 2个月以前发布,1279.0,97.0,2025-03-20 20:32:36
77,一层，南北大二居，带独立储物间，明卫，看房有钥匙必看好房,2室1厅 | 109.69平米 | 南 北 | 精装 | 底层(共6层)  | 板楼,2室1厅,109.69,南 北,11人关注 / 27天以前发布,465.0,42.0,2025-03-20 20:32:36
78,合景映月台 满五年 装修保持好 物业管理好 近地铁公交必看好房,2室1厅 | 77.5平米 | 南 北 | 精装 | 低楼层(共8层) | 2016年 | 板楼,2室1厅,77.5,南 北,84人关注 / 一年前发布,830.0,107.0,2025-03-20 20:32:36
79,方庄芳星园三区正规朝南的两居室必看好房,2室1厅 | 66.02平米 | 南 | 简装 | 中楼层(共25层) | 1994年 | 塔楼,2室1厅,66.02,南,56人关注 / 3个月以前发布,378.0,57.0,2025-03-20 20:32:36
80,2016年电梯次新房 全南向精装两居室 详情点咨询必看好房,2室1厅 | 81.33平米 | 南 | 精装 | 中楼层(共21层) | 2016年 | 板塔结合,2室1厅,81.33,南,22人关注 / 8个月以前发布,296.0,36.0,2025-03-20 20:32:36
81,清上园 高楼层 视野 无遮挡 诚意卖  满五年必看好房,3室2厅 | 128.72平米 | 南 西 北 | 简装 | 高楼层(共19层) | 2003年 | 板塔结合,3室2厅,128.72,南 西 北,67人关注 / 一年前发布,899.0,69.0,2025-03-20 20:32:36
82,欣六园小区位于长安街西延线起点向西约1100米必看好房,2室1厅 | 71.61平米 | 南 | 简装 | 顶层(共5层) | 2012年 | 板楼,2室1厅,71.61,南,15人关注 / 1个月以前发布,183.0,25.0,2025-03-20 20:32:36
83,金榜园  南北双通钢混结构 全明格局 业主诚心出售必看好房,2室1厅 | 86.4平米 | 南 北 | 简装 | 中楼层(共7层) | 2003年 | 板楼,2室1厅,86.4,南 北,19人关注 / 3个月以前发布,410.0,47.0,2025-03-20 20:32:36
84,南北通透，带客厅，看房方便，单价低，明卫生间必看好房,2室1厅 | 71.73平米 | 南 北 | 毛坯 | 顶层(共6层) | 1993年 | 板楼,2室1厅,71.73,南 北,7人关注 / 6个月以前发布,145.0,20.0,2025-03-20 20:32:36
85,大兴线清源西里  近地铁 近公园必看好房,1室1厅 | 53.85平米 | 西南 | 简装 | 中楼层(共6层) | 1997年 | 板楼,1室1厅,53.85,西南,15人关注 / 4个月以前发布,175.0,32.0,2025-03-20 20:32:36
86,阳光北里 优质大两居 满五唯一 高层无遮挡临近地铁必看好房,2室1厅 | 95.1平米 | 东南 北 | 简装 | 高楼层(共18层)  | 塔楼,2室1厅,95.1,东南 北,6人关注 / 11天以前发布,448.0,47.0,2025-03-20 20:32:36
87,古桥镜水 2室1厅 南 北必看好房,2室1厅 | 87.32平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2室1厅,87.32,南 北,8人关注 / 6个月以前发布,65.0,7.0,2025-03-20 20:32:36
88,福润四季B区  高层精装修 全明格局卫生间有窗户必看好房,1室1厅 | 62.09平米 | 西北 | 精装 | 高楼层(共18层) | 2014年 | 板楼,1室1厅,62.09,西北,19人关注 / 6个月以前发布,240.0,38.0,2025-03-20 20:32:36
89,丽水嘉园 2室1厅 西南必看好房,2室1厅 | 72.58平米 | 西南 | 精装 | 高楼层(共27层) | 2004年 | 塔楼,2室1厅,72.58,西南,5人关注 / 8天以前发布,688.0,94.0,2025-03-20 20:32:36
90,华威西里，社科院央产房，不临街，无遮挡，满五唯一必看好房,2室1厅 | 107.2平米 | 西 | 简装 | 中楼层(共18层)  | 塔楼,2室1厅,107.2,西,13人关注 / 14天以前发布,550.0,51.0,2025-03-20 20:32:36
